Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,"Forth at Navigation
 
 A4 - $1900’s (most light in living area)
 A6 - $2400’s
 A7- $2400’s
 
 A4
 https://www.instagram.com/reel/CdgTmz1Dtiw/?igsh=N2hxOHB1a2JmMHY=
 
 A6
 https://www.instagram.com/reel/CYjh7Y4IIN6/?igsh=MWp3MmphMjZkNGt1Yg==
 
 A7
 https://www.instagram.com/reel/Cin-1-gpTyL/?igsh=MWl4cThycDZiaGRxdw==",,,,,
Agent,"Brava
 
 A1 - $2299
 828 sqft",,,,,
Agent,https://my.matterport.com/show/?m=FPLRStB5Tce,,,,,
Agent,"Maybe the A4 at Brava also. No balcony unfortunately but full wall of floor to ceiling windows
 
 $2719 + 1 month free",,,,,
Agent,"Aris Market Square has a few options. Move date might be an issue, best prices are for immediate move ins
 
 If interested in them I’d probably only recommend A6 and A7 floor plans from what’s available",,,,,
Agent,"The Laura East River
 
 Not a Highrise but brand new and different floorplans to chose from. No carpet 
 
 A8 - $2300’s
 906 sqft",,,,,
Agent,https://www.instagram.com/reel/C0u8IwYp5z-/?igsh=MWk2bTk5bGpoanJhbg==,,,,,
Agent,"Hanover Parkview is walking distance from Hanover Autry Park. 
 
 Nice option with different floorplans to choose from, but also not a Highrise",,,,,
Agent,For 2 bedrooms I’d say The Laura would be my favorite to stay within budget,,,,,
Agent,Overall favorite for you I like Parkside Residences. With the special they have it’s a really good deal,,,,,
Agent,Let me know your thoughts once you get a chance to look at everything!,,,,,
Lead,I spoke to them and the special has changed to select units and they’re getting more residents. I also didn’t like there hallways and there isn’t much room to walk my dog.,,,,,
Lead,Im doomed,,,,,
Agent,Ahhh ok. Don’t say that. What is just your perfect description? All you want and at what price point?,,,,,
Lead,My last place in Atlanta,,,,,
Lead,https://www.moderaoldivyatlanta.com/?switch_cls%5Bid%5D=95005&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,,,,,
Lead,,IMG_4099.heic,,,,
Lead,My floor plan,,,,,
Lead,Essentially I have to pay more lol but I don’t love any of them but McKinley but I want a special,,,,,
Agent,"No, to the A1 or A4 at Brava?",,,,,
Lead,Let me look again one sec,,,,,
Agent,I think the A1 is a very similar deal to your spot in Atlanta,,,,,
Agent,Liked “Let me look again one sec ”,,,,,
Lead,Omg I didn’t see all the places you sent. I’ll take a look and update you.,,,,,
Agent,🤦🏽‍♂️Lol ok,,,,,
Lead,Liked “https://my.matterport.com/show/?m=FPLRStB5Tce”,,,,,
Lead,"Liked “Brava
 
 A1 - $2299
 828 sqft”",,,,,
Lead,Disliked “Maybe the A4 at Brava also. No balcony unfortunate…”,,,,,
Lead,The Brava A1 would be perfect but it’s not available until November,,,,,
Lead,I like the Brava,,,,,
Agent,"I was going to say, how about the A2? $2657 and we can double check the 1 month free special to make sure it applies",,,,,
Lead,,IMG_4100.heic,,,,
Lead,Would need to know which units get the extra,,,,,
Agent,Same thoughts 💭 I’ll check tomorrow when they open,,,,,
Lead,Thank you!,,,,,
Agent,Absolutely!,,,,,
Lead,Only 2 months on 3 bedrooms,,,,,
Agent,Loved “Only 2 months on 3 bedrooms ”,,,,,
Lead,"Liked “Elev8
 $2700
 A4
 
 Figure id send even at price since…”",,,,,
Lead,I like this property not a fan of the college refrigerator for this price,,,,,
Lead,"Loved “Forth at Navigation
 
 A4 - $1900’s (most light in l…”",,,,,
Lead,Love these. What’s wrong with them? And how is the area?,,,,,
Lead,Too good to be true lol,,,,,
Lead,I really like forth..the reviews are scary lol,,,,,
Lead,"Liked “The Laura East River
 
 Not a Highrise but brand new…”",,,,,
Lead,Disliked “https://www.instagram.com/reel/C0u8IwYp5z-/?igsh=M…”,,,,,
Agent,"Forth is nice. Great options for that price point, and the area is… growing 
 
 Sorry, thought I sent that",,,,,
Agent,Just spoke to Brava. 1 moth free is for the A4 & A5. The A2 gets two weeks free. And the $1500 is a look and lease specials meaning applying within 48 hours of touring,,,,,
Agent,Did you ever tour Brava?,,,,,
Lead,I never toured with them,,,,,
Agent,"Okay. I can tour for you today and FaceTime you in order for you to get the extra $1500. There’s a 1pm available, does that work?",,,,,
Lead,I would have to apply in 48 hours right?,,,,,
Agent,Yes. Which if you’re interested in Brava I’d suggest even well before that so someone doesn’t scoop up the unit we’re after,,,,,
Lead,No special on A1?,,,,,
Lead,Nevermind,,,,,
Lead,It’s the timeframe,,,,,
Agent,You want to move in September right?,,,,,
Lead,October 1st ish,,,,,
Agent,Is Oct 25th too late?,,,,,
Lead,Yes,,,,,
Agent,"Okay, our options are to push the move date as late into September as possible and use the 2 week free special, since it’s given upfront so you don’t pay rent until about Oct 1st. 
 
 That. Or hope there’s still a unit available and a special around late September. Which I wouldn’t recommend",,,,,
Lead,Can they push it to October 1 move in?,,,,,
Lead,Or October 5 at latest,,,,,
Lead,I’m so sorry to be a pain,,,,,
Lead,Think I may skip them,,,,,
Lead,"It’s $1k just to apply. I will also have my sister on the lease as well, that’s a bit much at the time of applying.",,,,,
Agent,"It’s no pain, I want you to get what you want. As we push the date back, the price changes. 
 
 If you want an application fee of a few hundred we’ll need to look at other buildings. There aren’t many buildings as luxury as Brava though. There are a couple Hanovers, Parkside residences, Aspire, and a few more in the neighborhood of luxury. 
 
 Forth at Nav, very very nice but I wouldn’t say gives the same level of luxury",,,,,
Agent,"Hey Britney, check out Camden Downtown. Beautiful finishes and really spacious units for great prices. They have virtual 3D tours for each floor plan. Let me know what you think!",,,,,
Agent,https://www.camdenliving.com/apartments/houston-tx/camden-downtown-houston/available-apartments?bedrooms=1,,,,,
Agent,,Audio Message.caf,,,,
Agent,"Hey Britney, checking in to see what you decided. I have a few more options I wanted to talk through with you and see if they will work. Let me know where we stand with the search",,,,,
Lead,Hey so sorry a lot has been going on and I may have to push my move date a little further due to unforeseen circumstances,,,,,
Agent,"Hey no worries. Okay, I hope everything is alright. Do you have a date in mind that you want to be moved by yet?",,,,,
Lead,Not sure everything is in the air right now,,,,,
Agent,"Okay understood! Well I’ll be here to help once you get clarity on the move. Reach out anytime, even if you find out you’ll no longer be moving to Houston I’d love to know.",,,,,
Agent,Take care until we speak again!,,,,,
Lead,Liked “Take care until we speak again!”,,,,,
Agent,"Hey Britney, and Happy new year! I hope all is well. Wanted to follow up to see if you’ve solidified any plans to move to Houston and could use any help?",,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Good evening Marcus, it’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment! Just a couple questions so I know exactly what you’re looking for…
 
 I see you want a central location. Are you wanting pretty much anywhere inside the 610 loop?",,,,,
Lead,Preferably somewhere on the northern end or at least easily be able to get up north as that’s where I work,,,,,
Agent,"Okay, what date are you looking to move from your house?",,,,,
Lead,Preferably sooner than later but in the middle of the selling process,,,,,
Agent,"Got it, what days of the week work best for you for apartment tours?",,,,,
Lead,Weekends and evenings after 5 any day except Tuesdays,,,,,
Agent,Got it! I’ll send some options in the morning and we can start touring this weekend,,,,,
Lead,Loved “Got it! I’ll send some options in the morning and …”,,,,,
Agent,"Good afternoon, I just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 My favorites are Modera Garden Oaks and Rosslyn Garden Oaks for you. Both central but just north of the loop so will be easy to get work for you. Within budget and Modera within budget you can have a den to serve as a second room too. 
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you",,,,,
Agent,"Hey Marcus, which options did you decide you’d like to tour in person?",,,,,
Lead,Hey I did I apologise things have been hectic since work started back but I really like Modera Garden Oak,,,,,
Agent,"No worries, that’s excellent. I’d like to get you in as soon as possible to tour. Does Thursday at 5:30pm work for you?",,,,,
Lead,That works,,,,,
Agent,"Perfect, we’re all scheduled for Modera Garden Oaks on Thursday @5:30pm
 
 Let me know if you have any questions!",,,,,
Lead,Do you have a few more opens in that are similar?,,,,,
Agent,I think the Rosslyn at Garden Oaks is worth a look too. These two are both new and will be most ideal with you working north,,,,,
Lead,I liked them but I did see a lot of break ins as far as cars,,,,,
Lead,I’m actually really close to Modera right now at a training would I be able to view them in the next 20 mins,,,,,
Agent,Definitely ask the leasing agent what they’re doing to make sure that doesn’t continue. You can definitely try touring today. They may be able to take you as a walk in depending on how swamped they are,,,,,
Agent,"Good morning, did you get a chance to swing by yesterday? Did they allow you to tour?",,,,,
Lead,"Yes they did allow me to tour, Rosslyn, they were ok but not the biggest bang for the buck. Underwhelming in comparison to the other choice",,,,,
Agent,"Okay perfect, yes I’d agree, still great you got a chance to compare. Anything Modera was lacking that you wish it had or do you think you’ll be going with them?",,,,,
Lead,I never seen Modera only images,,,,,
Agent,"Oh oh I see. I thought they were who you stopped by first yesterday. Well I think as far as space for price, you get a lot at Modera. 
 
 So Thursday at 5:30pm @ Modera is still on then?",,,,,
Lead,Yes,,,,,
Agent,Liked “Yes”,,,,,
