Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Outgoing,"Good afternoon Xosa! I just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling for when you’re in town👍🏽
 
 Prices you see on the list are without applicable specials which can significantly bring monthly rent down
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll keep those in mind and we’ll finalize your options closer to your trip from 10/29-11/2",,,,,
Outgoing,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you.",,,,,
Incoming,"Ok great , thank you. I will take a look and let you know",,,,,
Outgoing,"Loved “Ok great , thank you. I will take a look and let y…”",,,,,
Outgoing,My pleasure. Sound perfect,,,,,
Incoming,,IMG_8897.heic,,,,
Incoming,"Hi there , i took a look through the list and had two favorites. I also want to see what my options are in cypress & humble",,,,,
Incoming,I’ve also changed the dates I’ll be there to 11/2-11/6,,,,,
Outgoing,Got it. We’ll have those tours set up for when you visit and I’ll send some options in Cypress and Humble over the next day!,,,,,
Incoming,"Ok great , thank you",,,,,
Outgoing,"Loved “Ok great , thank you ”",,,,,
Outgoing,"Hey Xosa, I just emailed you some options in Humble and Cypress. Let me know all that you want to add to tours for your visit 👍🏼
 
 Many are running specials so even prices slightly above $1800 will be under for monthly rent. Here’s an example of Elevè on your list who’s running a 1 month free special…
 
 $1847 + 1 month free = $1693/monthly with prorated special",,,,,
Outgoing,"Saw your favorites. I’ll start scheduling tours within the next week. Since you’re arriving Saturday, Nov 2nd, do you want to start tours that day or on Sunday?",,,,,
Incoming,"Loved “Hey Xosa, I just emailed you some options in Humbl…”",,,,,
Incoming,"Ok awesome , we can start that day. I’ll be arriving around 9am.",,,,,
Outgoing,"Loved “Ok awesome , we can start that day. I’ll be arrivi…”",,,,,
Outgoing,Perfect!,,,,,
Outgoing,"Wanted you to see Modera Garden Oaks too. Let me know if you’d like to add them. New apartments, next to the Heights so much closer to Downtown. 
 
 2 bedrooms $1845 + 6 weeks free = $1632 + an additional $1000 off
 
 Moderagardenoakstx.com",,,,,
Incoming,Yes this can be added to the list,,,,,
Outgoing,Liked “Yes this can be added to the list ”,,,,,
Outgoing,"Good afternoon Sosa, I’m going to be scheduling soon and wanted to point out Alta Cypress Springs from your list. 2 bedrooms starting at $1655. New building built last year. Let me know if you’d like to see them as well",,,,,
Incoming,"Hi , yes that one can be added too",,,,,
Outgoing,"Liked “Hi , yes that one can be added too ”",,,,,
Incoming,Hey ! Have you booked all tours yet ? I want to look over the list again and make sure i like all of them,,,,,
Outgoing,"Hey Xosa! 6 out of 9 are booked so far
 
 Booked:
 The Maddox
 Lenox Grand West
 55fifty at northwest crossing
 Alta cypress springs
 Elevé
 Modera Garden Oaks
 
 Not booked:
 Fidelis Westlake
 Fidelis Cypress Creek
 Park on Napoli
 
 2 others to consider (Brand New):
 Broadstone Amelia 
 Broadstone Amarra",,,,,
Incoming,"Ok let me take another look at the last 3 before you book & I’ll also check out the Broadstone , will follow up in a few",,,,,
Incoming,"Ok, don’t bother booking the last 3 & If possible, I’d like to cancel the tour at 55fifty at northwest. 
 
 I’ll pass on the Broadstone properties.",,,,,
Outgoing,"Okay, no problem. 
 
 Any feedback on features, locations, etc that you like most about the tours we’re keeping so we can set up more that you’ll like?",,,,,
Incoming,"It’s mostly features , the traditional speckled marble counters are not my fave. 
 
 I think for most that I’m keeping they are within 20-30 mins away from the city which is cool with me. The heights or galleria area are also great if it’s affordable.",,,,,
Incoming,"I also have been meaning to mention , I’m also open to a 1 bed with a den area",,,,,
Outgoing,"Good morning, okay I got it. I’ll take another look today. Ultimately from what it sounds like, I think you’re going to love Modera garden Oaks. Location, price, unit, plus special brings you well under budget. 
 
 Let me get back to you today with any others",,,,,
Incoming,"Ok thank you, do you also have the list of tour times /dates?",,,,,
Outgoing,"My pleasure. Yes, here’s the schedule. You should have gotten en email also. 
 
 Saturday, Nov 2nd
 11am - The Maddox
 12pm - Lenox Grand West
 2:30pm - Alta Cypress Springs
 
 Sunday, Nov 3rd
 2pm - Elevé
 3:30pm - Modera Garden Oaks
 
 I added some more recommendations in your portal and kept it more central, closer to downtown. Keep in mind prices shown are without applicable specials. Let me know if you have any questions!",,,,,
Outgoing,"Good afternoon Xosa, are there any other options you’ll be wanting to tour besides the 5 on our schedule above?",,,,,
Incoming,"Hey, for right now these are good",,,,,
Outgoing,Okay sounds good,,,,,
Incoming,"Hey, will you be present at the tours tomorrow ? Just wanted to check to see if I’ll need to look out for you or if I’ll just be touring with the leasing agent",,,,,
Outgoing,"Hey Xosa, tomorrow you’ll only be with a leasing agent. I’ll be able to meet you on Sunday. 
 
 I’ll be available for you all day tomorrow to text or call if you need anything at all",,,,,
Incoming,"Ok great, thank you !",,,,,
Outgoing,Pleasure is mine!,,,,,
Outgoing,Good afternoon Xosa! I hope everything went well on tours yesterday. I’ll be meeting you at the last tour at 3:30 at Modera Garden Oaks. We can talk about everything then!,,,,,
Incoming,"Hi , ok. Sounds good",,,,,
Outgoing,I’ll be there right at 3:30,,,,,
Incoming,"Ok we just finished up , I’m outside",,,,,
Outgoing,"Hey Xosa, I just sent some more. I added places North, in Cypress and also one in Spring Branch called Avasa Spring Branch that I think is worth a look. You may like the spring Branch area too.
 
 Let me know which you’ll want to check out and I’ll schedule for your most convenient time!",,,,,
Incoming,"Ok great thanks, I’ll take a look",,,,,
Outgoing,"My pleasure, sounds good",,,,,
Outgoing,"Hey, any thoughts on new options you want to see?",,,,,
Incoming,"Hey, sorry today ended being super busy. I just went in and favorited a few",,,,,
Outgoing,"No worries at all. Okay, do you want me to spread them out between tomorrow and Wednesday? What times are you available?",,,,,
Incoming,"Yes , mostly tomorrow , after 12",,,,,
Incoming,If not Wednesday before 3,,,,,
Outgoing,"Okay, I’ll get back to you with a schedule 👍🏼",,,,,
Outgoing,"Good evening, here goes your schedule for the next two days:
 
 Tuesday, Nov 5th
 12:30pm - Territory at 2920
 1:30pm - Royal Spring
 2pm - Park on Napoli
 
 Wednesday, Nov 6th 
 1:15pm - Fidelis Westlake
 2pm Grove East
 
 I’ll call in the morning to schedule San Palmas after your 2pm at Park on Napoli if that’s okay with you. Let me know if you have any questions or concerns!",,,,,
Incoming,"Thanks , yes that’s fine for San Palmas",,,,,
Outgoing,"Loved “Thanks , yes that’s fine for San Palmas ”",,,,,
Outgoing,San Palmas scheduled for today @ 3pm 👍🏼,,,,,
Incoming,Thank you,,,,,
Outgoing,Absolutely! Call or text if you need anything and please let me know how everything goes,,,,,
Incoming,"Hey ! I’m actually not going to make it to the tours today , won’t have the time. 
 
 The apts i saw yesterday were all nice. Going to send my faves to my bf to see if he agrees or if we need to keep looking. I’ll update you soon",,,,,
Outgoing,"Hey good afternoon! Okay, that’s no problem, sounds great. I’m glad you liked yesterday’s options. 
 
 Sounds perfect, I’ll talk to you soon!",,,,,
Outgoing,"Hey Xosa, checking on how the decision making is going. Were you and your bf able to narrow down your favorites?",,,,,
Outgoing,"Hey Xosa, checking up again. Did you decide on any you’ve seen or do we need to keep looking?",,,,,
Incoming,"Hey, I’m so sorry i never got back to you. We have to take a pause on looking to handle a family emergency that came up. Once we can start looking again I’ll be sure to reach out. Thanks so much",,,,,
Outgoing,No worries. I’m really sorry to hear that & hoping for the best. I’ll be here when you’re ready again,,,,,
Incoming,"Thanks so much , I’ll be in touch",,,,,
Outgoing,"Loved “Thanks so much , I’ll be in touch ”",,,,,
Outgoing,"Hey Xosa, wanted to follow up quickly to see if you’ll still be moving anytime soon?",,,,,
Incoming,"Hey! Thanks for reaching out , not just yet but i will be in contact once things change",,,,,
Outgoing,"Loved “Hey! Thanks for reaching out , not just yet but i will be in contact once things change”",,,,,
Outgoing,"Of course! Sounds perfect, take care until then",,,,,
Outgoing,"Hey Xosa, I hope all is well! Wanted to check on you and make sure you’re still all set for now?",,,,,
,,,,,,
,,,,,,
,,,,,,
Outgoing,"Hey Lashay! it’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment. Just a couple details so I know exactly what you’re looking for!
 
 What areas or neighborhoods are you considering?",,,,,
Incoming,"Good morning, 
 I presently live in Katy I’ve been in Texas for a year so not really familiar with areas I would like to be in a safe area if there newly reconstructed homes townhomes or apartments with 2 bedrooms or 3 depending on price I’m interested in that",,,,,
Outgoing,Got it! Is there a work address you’d like to stay close to? Or willing to be in Katy or any other areas of Houston?,,,,,
Incoming,I work from home,,,,,
Outgoing,,Audio Message.caf,,,,
Incoming,"Thank you yes price flexible , lease end dec would like to move nov 1st",,,,,
Outgoing,"Of course, okay what’s the max price you’d like me to send deals at?",,,,,
Outgoing,Also what days of the week will work best for apartment tours?,,,,,
Incoming,"$2000 
 Any day is fine",,,,,
Outgoing,"Okay, I’ll send some options in a bit and we’ll start to coordinate some tours",,,,,
Incoming,"Liked “Okay, I’ll send some options in a bit and we’ll st…”",,,,,
Outgoing,"Just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Since your location preference is so broad, you have many options to choose from. Let me know if you have any questions about location. 
 
 Let me know the top 3-5 you want to tour ideally in the next 24 hours or so and I’ll set them up!",,,,,
Outgoing,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you!",,,,,
Incoming,Liked “Also you’ll be getting a $200 cash rebate or free …”,,,,,
Incoming,"Allora Cinco Ranch $1750
 Allora District West $1799
 Alta Cyress Springs $1775
 Lenox Grand West $1889
 Lenox Katy Creek $1865 this one I’m already set up for a tour for Friday 12pm",,,,,
